Round,Classification
1,BAD
1,GOOD
1,GOOD
1,BAD
1,BAD
1,BAD
1,BAD
1,GOOD
1,GOOD
1,BAD
2,GOOD
2,BAD
2,BAD
2,BAD
2,GOOD
2,GOOD
2,GOOD
2,BAD
2,BAD
2,GOOD
2,GOOD
2,GOOD
2,GOOD
2,BAD
3,BAD
3,GOOD
3,GOOD
3,BAD
3,BAD
3,BAD
3,BAD
3,BAD
3,BAD
3,BAD
3,GOOD
3,BAD
3,GOOD
3,BAD
3,GOOD
4,BAD
4,GOOD
4,GOOD
4,GOOD
4,GOOD
4,GOOD
4,GOOD
4,GOOD
4,GOOD
4,GOOD
4,GOOD
4,GOOD
4,BAD
4,BAD
4,GOOD
4,BAD
4,BAD
4,GOOD
5,GOOD
5,GOOD
5,GOOD
5,BAD
5,BAD
5,GOOD
5,GOOD
5,GOOD
5,GOOD
5,BAD
5,BAD
5,BAD
5,GOOD
5,GOOD
5,GOOD
5,GOOD
5,BAD
5,GOOD
5,GOOD
5,GOOD
8,BAD
8,GOOD
8,GOOD
8,BAD
8,BAD
8,BAD
8,GOOD
8,BAD
8,GOOD
8,GOOD
8,BAD
8,GOOD
8,BAD
8,BAD
8,BAD
